number,value,datetime_start,datetime_complete,duration,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
0,0.17013665383375556,2026-08-09 16:01:21.710031,2026-08-09 16:01:23.433761,0 days 00:00:01.723730,0.295477637306448,0.7993292420985183,0.9556428757689246,144,COMPLETE
1,0.49141823009162455,2026-08-09 16:01:23.433828,2026-08-09 16:01:24.839826,0 days 00:00:01.405998,0.03265260874559779,0.9330880728874675,0.2403950683025824,89,COMPLETE
2,0.5524970395859402,2026-08-09 16:01:24.840231,2026-08-09 16:01:26.805605,0 days 00:00:01.965374,0.018027952775362954,0.9849549260809971,0.737265320016441,200,COMPLETE
3,0.37239664145695794,2026-08-09 16:01:26.805870,2026-08-09 16:01:28.633343,0 days 00:00:01.827473,0.08091173721076923,0.5917022549267169,0.29110519961044856,258,COMPLETE
4,0.24451132350996274,2026-08-09 16:01:28.633409,2026-08-09 16:01:30.117206,0 days 00:00:01.483797,0.17845855727042517,0.645614570099021,0.5722807884690141,126,COMPLETE
5,0.3069376832291426,2026-08-09 16:01:30.117273,2026-08-09 16:01:31.765198,0 days 00:00:01.647925,0.12393641292873508,0.6831809216468459,0.22554447458683766,203,COMPLETE
6,0.3444297090095712,2026-08-09 16:01:31.765262,2026-08-09 16:01:33.488765,0 days 00:00:01.723503,0.08787277504176029,0.7571172192068059,0.8066583652537123,164,COMPLETE
7,0.20217770605605856,2026-08-09 16:01:33.488965,2026-08-09 16:01:35.176527,0 days 00:00:01.687562,0.24694249224156098,0.5852620618436457,0.14180537144799796,198,COMPLETE
8,0.1277765198777002,2026-08-09 16:01:35.176722,2026-08-09 16:01:36.483363,0 days 00:00:01.306641,0.38659649289907816,0.9041986740582306,0.9539969835279999,66,COMPLETE
9,0.18211425736429399,2026-08-09 16:01:36.483428,2026-08-09 16:01:37.887710,0 days 00:00:01.404282,0.2768508803397412,0.7200762468698007,0.1879049026057455,126,COMPLETE
10,0.12592014775060534,2026-08-09 16:01:37.887777,2026-08-09 16:01:39.913362,0 days 00:00:02.025585,0.3881194732072677,0.5089809378074098,0.5259945893092017,291,COMPLETE
11,0.5764310658807835,2026-08-09 16:01:39.913424,2026-08-09 16:01:41.055792,0 days 00:00:01.142368,0.013750860563955695,0.9903208579982972,0.45762496001292347,54,COMPLETE
12,0.5834507706110797,2026-08-09 16:01:41.055863,2026-08-09 16:01:43.014572,0 days 00:00:01.958709,0.013321553045214003,0.984047375706068,0.5739328498550292,236,COMPLETE
13,0.5664806137907765,2026-08-09 16:01:43.014637,2026-08-09 16:01:44.962501,0 days 00:00:01.947864,0.0165055857845006,0.8748564540579511,0.4481725757485686,250,COMPLETE
14,0.33827233204537377,2026-08-09 16:01:44.962564,2026-08-09 16:01:46.150804,0 days 00:00:01.188240,0.09073088643432763,0.98575431376522,0.38405674857267513,53,COMPLETE
15,0.2548802898213766,2026-08-09 16:01:46.150869,2026-08-09 16:01:47.569111,0 days 00:00:01.418242,0.16320382695596355,0.8415056606113446,0.5985159118410452,97,COMPLETE
16,0.4098235847958626,2026-08-09 16:01:47.569174,2026-08-09 16:01:49.772614,0 days 00:00:02.203440,0.05526656346605188,0.9980082658737178,0.6877031329084252,294,COMPLETE
17,0.27590298859935786,2026-08-09 16:01:49.772729,2026-08-09 16:01:51.690246,0 days 00:00:01.917517,0.1363900718111865,0.9311827539753849,0.3924946384910178,249,COMPLETE
18,0.41026047771368407,2026-08-09 16:01:51.690310,2026-08-09 16:01:51.951508,0 days 00:00:00.261198,0.05956807404889461,0.8427523040644671,0.49242690798162503,174,COMPLETE
19,0.5708745874837622,2026-08-09 16:01:51.951571,2026-08-09 16:01:53.838475,0 days 00:00:01.886904,0.015419544386119869,0.9398069633632562,0.6588331188237059,222,COMPLETE
